Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
John 8:31-32,Acts 13:44-52,Psalms 98:1-4,,2017-05-13,John 14:7-14,Our Lady of Fatima (Optional Memorial)
John 14:6,Acts 6:1-7,"Psalms 33:1-2, 4-5, 18-19",1 Peter 2:4-9,2017-05-14,John 14:1-12,Fifth Sunday of Easter
John 14:26,Acts 14:5-18,"Psalms 115:1-4, 15-16",,2017-05-15,John 14:21-26,Saint Isidore the Farmer (Optional Memorial)
"Luke 24:46, 26",Acts 14:19-28,"Psalms 145:10-13, 21",,2017-05-16,John 14:27-31,"St. Margaret of Cortona, III Order (Memorial)"
"John 15:4, 5",Acts 15:1-6,Psalms 122:1-5,,2017-05-17,John 15:1-8,"St. Paschal Baylon, OFM, Religious (Memorial)"
John 10:27,Acts 2:44-47,Colossians 3:12-17,,2017-05-18,Psalms 131:1-3,"St. Felix Porri of Cantalice, Capuchin, Religious (Feast)"
John 15:15,Acts 15:22-31,"Psalms 57:8-10, 12",,2017-05-19,John 15:12-17,"St. Crispin of Viterbo, Religious (Memorial)"
Colossians 3:1,Acts 16:1-10,"Psalms 100:1-3, 5",,2017-05-20,John 15:18-21,"St. Bernardine of Siena, OFM Priest (Memorial)"
John 14:23,"Acts 8:5-8, 14-17","Psalms 66:1-7, 16, 20",1 Peter 3:15-18,2017-05-21,John 14:15-21,Sixth Sunday of Easter
"John 15:26, 27",Acts 16:11-15,"Psalms 149:1-6, 9",,2017-05-22,John 15:26--16:4,"St. Rita of Cascia, Religious (Optional Memorial)"
"John 16:7, 13",Acts 16:22-34,"Psalms 138:1-3, 7-8",,2017-05-23,John 16:5-11,Easter Weekday
John 14:16,Revelation 21:1-5,Psalms 95:1-7,,2017-05-24,John 10:22-30,Dedication of the Basilica of Saint Francis of Assisi (Feast)
John 14:18,Acts 18:1-8,Psalms 98:1-4,,2017-05-25,John 16:16-20,Easter Weekday
"Luke 24:46, 26",Acts 18:9-18,Psalms 47:2-7,,2017-05-26,John 16:20-23,"St. Philip Neri, Priest (Memorial)"
John 16:28,Acts 18:23-28,"Psalms 47:2-3, 8-10",,2017-05-27,John 16:23-28,Easter Weekday
Colossians 3:1,Acts 1:1-11,"Psalms 47:2-3, 6-9",Ephesians 1:17-23,2017-05-28,Matthew 28:16-20,The Ascension of the Lord (Solemnity)
John 14:16,Acts 19:1-8,Psalms 68:2-7,,2017-05-29,John 16:29-33,Memorial Day
Luke 1:45,Acts 20:17-27,"Psalms 68:10-11, 20-21",,2017-05-30,John 17:1-11,"St. Joan of Arc, Virgin, Martyr (Optional Memorial)"
John 17:21,Zephaniah 3:14-18,Romans 12:9-16,,2017-05-31,Isaiah 12:2-6,The Visitation of the Blessed Virgin Mary (Feast)
John 14:26,Acts 22:30; 23:6-11,"Psalms 16:1-2, 5, 7-11",,2017-06-01,John 17:20-26,"St. Justin, Martyr (Memorial)"
"John 16:7, 13",Acts 25:13-21,"Psalms 103:1-2, 11-12, 19-20",,2017-06-02,John 21:15-19,Easter Weekday
,"Acts 28:16-20, 30-31","Psalms 11:4-5, 7",,2017-06-03,John 21:20-25,"Sts. Charles Lwanga and Companions, Martyrs (Memorial)"
Revelation 1:5,Acts 2:1-11,"Psalms 104:1, 24, 29-31, 34","1 Corinthians 12:3-7, 12-13",2017-06-04,John 20:19-23,Pentecost Sunday (Solemnity)
Ephesians 1:17-18,Tobit 1:3; 2:1-8,Psalms 112:1-6,,2017-06-05,Mark 12:1-12,"St. Boniface, Bishop, Martyr (Memorial)"
"John 11:25, 26",Tobit 2:9-14,"Psalms 112:1-2, 7-9",,2017-06-06,Mark 12:13-17,Weekday
2 Timothy 1:10,"Tobit 3:1-11, 16-17",Psalms 25:2-9,,2017-06-07,Mark 12:18-27,Weekday
John 14:23,"Tobit 6:10-11; 7:1, 9-17; 8:4-9",Psalms 128:1-5,,2017-06-08,Mark 12:28-34,Weekday
Matthew 5:3,Tobit 11:5-17,"Psalms 146:1-2, 6-10",,2017-06-09,Mark 12:35-37,Weekday
Revelation 1:8,"Tobit 12:1, 5-15, 20","Tobit 13:2, 6-8",,2017-06-10,Mark 12:38-44,Saturday Memorial of the Blessed Virgin Mary
Matthew 5:12,"Exodus 34:4-6, 8-9",Daniel 3:52-55,2 Corinthians 13:11-13,2017-06-11,John 3:16-18,The Most Holy Trinity (Solemnity)
Matthew 5:16,2 Corinthians 1:1-7,Psalms 34:2-9,,2017-06-12,Matthew 5:1-12,Weekday
"Psalms 25:4, 5",Wisdom 7:7-14,"Ephesians 4:7, 11-15",,2017-06-13,"Psalms 40:3-4, 10-11, 17","St. Anthony of Padua, OFM, Priest, Doctor of the Church (Feast)"
John 13:34,2 Corinthians 3:4-11,Psalms 99:5-9,,2017-06-14,Matthew 5:17-19,Weekday
"Philippians 2:15, 16","2 Corinthians 3:15--4:1, 3-6",Psalms 85:9-14,,2017-06-15,Matthew 5:20-26,Weekday
"Psalms 119:36, 29",2 Corinthians 4:7-15,"Psalms 116:10-11, 15-18",,2017-06-16,Matthew 5:27-32,Weekday
John 6:51,2 Corinthians 5:14-21,"Psalms 103:1-4, 9-12",,2017-06-17,Matthew 5:33-37,Saturday Memorial of the Blessed Virgin Mary
Psalms 119:105,"Deuteronomy 8:2-3, 14-16","Psalms 147:12-15, 19-20",1 Corinthians 10:16-17,2017-06-18,John 6:51-58,The Most Holy Body and Blood of Christ (Solemnity)
John 13:34,2 Corinthians 6:1-10,Psalms 98:1-4,,2017-06-19,Matthew 5:38-42,Weekday
John 14:23,2 Corinthians 8:1-9,"Psalms 146:2, 5-9",,2017-06-20,Matthew 5:43-48,Weekday
Romans 8:15,2 Corinthians 9:6-11,"Psalms 112:1-4, 9",,2017-06-21,"Matthew 6:1-6, 16-18","St. Aloysius Gonzaga, Religious (Memorial)"
Matthew 11:29,2 Corinthians 11:1-11,"Psalms 111:1-4, 7-8",,2017-06-22,Matthew 6:7-15,"Saints John Fisher, Bishop, Martyr and Thomas More, Martyr (Optional Memorial)"
Luke 1:76,Deuteronomy 7:6-11,"Psalms 103:1-4, 6-7, 8, 10",1 John 4:7-16,2017-06-23,Matthew 11:25-30,The Solemnity of the Most Sacred Heart of Jesus
"John 15:26, 27",Isaiah 49:1-6,"Psalms 139:1-3, 13-15",Acts 13:22-26,2017-06-24,"Luke 1:57-66, 80",The Nativity of St. John the Baptist (Solemnity)
